epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,768.249,0.79616,0.90485,1.09913,0.83194,1,0.995,0.6694,1.16353,1.97382,1.53485,0.000827782,0.000827782,0.000827782
44,787.667,0.83632,0.91117,1.09056,0.82648,1,0.995,0.65842,1.11735,1.78489,1.47285,0.000832902,0.000832902,0.000832902
45,806.74,0.75609,0.90755,1.07751,0.82648,1,0.995,0.65842,1.11735,1.78489,1.47285,0.000837361,0.000837361,0.000837361
46,826.364,0.85859,0.94067,1.19151,0.8606,1,0.995,0.63355,1.16408,1.56578,1.52578,0.00084116,0.00084116,0.00084116
47,846.038,0.98127,1.05006,1.37204,0.8606,1,0.995,0.63355,1.16408,1.56578,1.52578,0.000844299,0.000844299,0.000844299
48,866.238,0.78935,0.86991,1.17518,0.9044,1,0.995,0.53797,1.43467,1.44517,1.90665,0.000846778,0.000846778,0.000846778
49,886.192,0.90731,1.00448,1.16079,0.9044,1,0.995,0.53797,1.43467,1.44517,1.90665,0.000848596,0.000848596,0.000848596
50,905.894,0.82515,1.03655,1.16825,0.94401,0.99323,0.995,0.54803,1.44135,1.51215,1.90203,0.000849755,0.000849755,0.000849755
51,925.177,0.90768,0.97819,1.21215,0.94401,0.99323,0.995,0.54803,1.44135,1.51215,1.90203,0.000841835,0.000841835,0.000841835
52,936.148,0.80453,0.89341,1.1562,0.81888,1,0.9125,0.59754,1.3369,1.63703,1.49189,0.000825332,0.000825332,0.000825332
53,1106.84,0.66713,0.83757,1.00253,0.81888,1,0.9125,0.59754,1.3369,1.63703,1.49189,0.000808828,0.000808828,0.000808828
54,1119.23,0.72449,0.89136,1.07846,0.71269,1,0.87063,0.55636,1.16957,1.72272,1.26152,0.000792325,0.000792325,0.000792325
55,1130.04,0.79944,0.8831,1.12411,0.71269,1,0.87063,0.55636,1.16957,1.72272,1.26152,0.000775822,0.000775822,0.000775822
56,1141.73,0.78676,0.98001,1.14742,0.83735,1,0.95375,0.64701,1.01073,1.58629,1.2343,0.000759318,0.000759318,0.000759318
57,1151.83,0.78413,0.92361,1.11606,0.83735,1,0.95375,0.64701,1.01073,1.58629,1.2343,0.000742815,0.000742815,0.000742815
58,1161.55,0.76277,0.9235,1.1245,0.91416,0.98982,0.995,0.76351,1.04241,1.57724,1.4048,0.000726312,0.000726312,0.000726312
59,1171.26,0.88546,0.87013,1.10095,0.91416,0.98982,0.995,0.76351,1.04241,1.57724,1.4048,0.000709809,0.000709809,0.000709809
60,1181.7,0.80854,0.90083,1.10781,0.85393,1,0.995,0.5654,1.20624,2.00893,1.46571,0.000693305,0.000693305,0.000693305
61,1192.35,0.7394,0.88773,1.15081,0.85393,1,0.995,0.5654,1.20624,2.00893,1.46571,0.000676802,0.000676802,0.000676802
62,1202.46,0.82,0.90503,1.11893,0.79414,0.81504,0.84571,0.42546,1.37352,2.18277,1.51022,0.000660299,0.000660299,0.000660299
63,1215.17,0.82517,0.88429,1.12882,0.79414,0.81504,0.84571,0.42546,1.37352,2.18277,1.51022,0.000643795,0.000643795,0.000643795
64,1227.72,0.75653,0.95274,1.15551,0.94469,0.79073,0.929,0.531,1.10475,1.96109,1.30863,0.000627292,0.000627292,0.000627292
65,1240.18,0.71718,0.81074,1.05148,0.94469,0.79073,0.929,0.531,1.10475,1.96109,1.30863,0.000610789,0.000610789,0.000610789
66,1252.31,0.66878,0.82471,1.08007,1,0.95452,0.995,0.75758,0.9727,1.39583,1.19678,0.000594286,0.000594286,0.000594286
67,1264.18,0.68756,0.88447,1.07574,1,0.95452,0.995,0.75758,0.9727,1.39583,1.19678,0.000577782,0.000577782,0.000577782
68,1275.84,0.73212,0.80049,1.04761,0.94598,1,0.995,0.75465,0.95093,1.15286,1.19108,0.000561279,0.000561279,0.000561279
69,1287.9,0.6736,0.78476,1.09562,0.94598,1,0.995,0.75465,0.95093,1.15286,1.19108,0.000544776,0.000544776,0.000544776
70,1302.49,0.7361,0.78392,1.09906,0.95846,1,0.995,0.73542,0.96788,1.09144,1.24455,0.000528272,0.000528272,0.000528272
71,1315.49,0.69482,0.81414,1.10898,0.95846,1,0.995,0.73542,0.96788,1.09144,1.24455,0.000511769,0.000511769,0.000511769
72,1327.75,0.72897,0.74692,1.05832,0.95952,1,0.995,0.73555,0.9391,1.01681,1.20452,0.000495266,0.000495266,0.000495266
73,1339.37,0.67119,0.7109,1.04837,0.95952,1,0.995,0.73555,0.9391,1.01681,1.20452,0.000478762,0.000478762,0.000478762
74,1350.91,0.64372,0.7234,1.02041,0.94764,0.99533,0.995,0.75199,0.87104,1.06147,1.12751,0.000462259,0.000462259,0.000462259
75,1362.97,0.67653,0.70058,1.05328,0.94764,0.99533,0.995,0.75199,0.87104,1.06147,1.12751,0.000445756,0.000445756,0.000445756
76,1375.05,0.72544,0.74665,1.13875,0.9332,0.98728,0.995,0.7382,0.91052,1.06599,1.14099,0.000429253,0.000429253,0.000429253
77,1388.61,0.64558,0.79934,1.04592,0.9332,0.98728,0.995,0.7382,0.91052,1.06599,1.14099,0.000412749,0.000412749,0.000412749
78,1402.07,0.6921,0.73959,1.08029,0.95011,0.99706,0.995,0.7382,0.92346,1.03509,1.15724,0.000396246,0.000396246,0.000396246
79,1415.18,0.6534,0.69196,0.98009,0.95011,0.99706,0.995,0.7382,0.92346,1.03509,1.15724,0.000379743,0.000379743,0.000379743
80,1428.68,0.66346,0.83023,1.091,0.95648,1,0.995,0.72173,0.93654,1.00927,1.16536,0.000363239,0.000363239,0.000363239
81,1443.36,0.62376,0.8128,1.03168,0.95648,1,0.995,0.72173,0.93654,1.00927,1.16536,0.000346736,0.000346736,0.000346736
82,1461.72,0.6644,0.84287,1.06374,0.95591,1,0.995,0.71369,0.98033,1.0062,1.22011,0.000330233,0.000330233,0.000330233
83,1475.6,0.64281,0.71003,1.07102,0.95591,1,0.995,0.71369,0.98033,1.0062,1.22011,0.000313729,0.000313729,0.000313729
84,1489.71,0.5861,0.64721,1.03156,0.95746,1,0.995,0.73016,0.98301,1.02771,1.24094,0.000297226,0.000297226,0.000297226
85,1504.61,0.65678,0.6824,1.01239,0.95746,1,0.995,0.73016,0.98301,1.02771,1.24094,0.000280723,0.000280723,0.000280723
86,1519.16,0.6656,0.72843,1.02928,0.95512,1,0.995,0.72463,0.93399,0.99083,1.19667,0.00026422,0.00026422,0.00026422
87,1533.14,0.56768,0.65618,0.99172,0.95512,1,0.995,0.72463,0.93399,0.99083,1.19667,0.000247716,0.000247716,0.000247716
88,1548.47,0.60149,0.67832,1.04603,0.95303,1,0.995,0.79083,0.86804,0.98964,1.12086,0.000231213,0.000231213,0.000231213
89,1566.7,0.55655,0.67612,0.98737,0.95303,1,0.995,0.79083,0.86804,0.98964,1.12086,0.00021471,0.00021471,0.00021471
